trader_type,n,mean,std,min,max,zeros
GA,10,235.4,307.74,0.0,731.0,5
GVWY,40,1232.5,2136.94,0.0,8406.0,21
RL,10,808.5,1017.51,0.0,2927.0,5
SHVR,40,1703.42,2572.55,0.0,7469.0,15
ZIC,40,2138.32,2649.93,0.0,9532.0,10
ZIP,40,2679.52,3296.78,0.0,10382.0,12
