virtual_time,trader_id,trader_type,balance
120.44,B00,ZIP,0.0
120.44,B01,SHVR,0.0
120.44,B02,ZIP,0.0
120.44,B03,RL,0.0
120.44,B04,ZIC,0.0
120.44,B05,RL,0.0
120.44,B06,GVWY,5.0
120.44,B07,SHVR,15.0
120.44,B08,RL,27.0
120.44,B09,GVWY,44.0
120.44,B10,ZIC,23.0
120.44,S00,GVWY,216.0
120.44,S01,ZIP,123.0
120.44,S02,ZIP,74.0
120.44,S03,ZIC,72.0
120.44,S04,ZIC,0.0
120.44,S05,SHVR,0.0
120.44,S06,SHVR,0.0
120.44,S07,GVWY,0.0
241.31,B00,ZIP,0.0
241.31,B01,SHVR,0.0
241.31,B02,ZIP,0.0
241.31,B03,RL,0.0
241.31,B04,ZIC,0.0
241.31,B05,RL,0.0
241.31,B06,GVWY,5.0
241.31,B07,SHVR,15.0
241.31,B08,RL,35.0
241.31,B09,GVWY,84.0
241.31,B10,ZIC,97.0
241.31,S00,GVWY,411.0
241.31,S01,ZIP,259.0
241.31,S02,ZIP,237.0
241.31,S03,ZIC,153.0
241.31,S04,ZIC,62.0
241.31,S05,SHVR,0.0
241.31,S06,SHVR,0.0
241.31,S07,GVWY,0.0
361.72,B00,ZIP,0.0
361.72,B01,SHVR,0.0
361.72,B02,ZIP,0.0
361.72,B03,RL,0.0
361.72,B04,ZIC,0.0
361.72,B05,RL,0.0
361.72,B06,GVWY,5.0
361.72,B07,SHVR,23.0
361.72,B08,RL,53.0
361.72,B09,GVWY,124.0
361.72,B10,ZIC,207.0
361.72,S00,GVWY,553.0
361.72,S01,ZIP,437.0
361.72,S02,ZIP,414.0
361.72,S03,ZIC,228.0
361.72,S04,ZIC,81.0
361.72,S05,SHVR,0.0
361.72,S06,SHVR,0.0
361.72,S07,GVWY,0.0
482.79,B00,ZIP,0.0
482.79,B01,SHVR,0.0
482.79,B02,ZIP,0.0
482.79,B03,RL,0.0
482.79,B04,ZIC,0.0
482.79,B05,RL,0.0
482.79,B06,GVWY,5.0
482.79,B07,SHVR,33.0
482.79,B08,RL,56.0
482.79,B09,GVWY,134.0
482.79,B10,ZIC,286.0
482.79,S00,GVWY,752.0
482.79,S01,ZIP,640.0
482.79,S02,ZIP,486.0
482.79,S03,ZIC,277.0
482.79,S04,ZIC,139.0
482.79,S05,SHVR,0.0
482.79,S06,SHVR,0.0
482.79,S07,GVWY,0.0
603.17,B00,ZIP,0.0
603.17,B01,SHVR,0.0
603.17,B02,ZIP,0.0
603.17,B03,RL,0.0
603.17,B04,ZIC,0.0
603.17,B05,RL,0.0
603.17,B06,GVWY,5.0
603.17,B07,SHVR,44.0
603.17,B08,RL,64.0
603.17,B09,GVWY,165.0
603.17,B10,ZIC,331.0
603.17,S00,GVWY,940.0
603.17,S01,ZIP,846.0
603.17,S02,ZIP,628.0
603.17,S03,ZIC,338.0
603.17,S04,ZIC,175.0
603.17,S05,SHVR,0.0
603.17,S06,SHVR,0.0
603.17,S07,GVWY,0.0
723.68,B00,ZIP,0.0
723.68,B01,SHVR,0.0
723.68,B02,ZIP,0.0
723.68,B03,RL,0.0
723.68,B04,ZIC,0.0
723.68,B05,RL,0.0
723.68,B06,GVWY,5.0
723.68,B07,SHVR,52.0
723.68,B08,RL,73.0
723.68,B09,GVWY,187.0
723.68,B10,ZIC,372.0
723.68,S00,GVWY,1095.0
723.68,S01,ZIP,1051.0
723.68,S02,ZIP,782.0
723.68,S03,ZIC,404.0
723.68,S04,ZIC,190.0
723.68,S05,SHVR,0.0
723.68,S06,SHVR,0.0
723.68,S07,GVWY,0.0
843.99,B00,ZIP,0.0
843.99,B01,SHVR,0.0
843.99,B02,ZIP,0.0
843.99,B03,RL,0.0
843.99,B04,ZIC,0.0
843.99,B05,RL,0.0
843.99,B06,GVWY,5.0
843.99,B07,SHVR,60.0
843.99,B08,RL,73.0
843.99,B09,GVWY,214.0
843.99,B10,ZIC,405.0
843.99,S00,GVWY,1304.0
843.99,S01,ZIP,1205.0
843.99,S02,ZIP,936.0
843.99,S03,ZIC,520.0
843.99,S04,ZIC,215.0
843.99,S05,SHVR,0.0
843.99,S06,SHVR,0.0
843.99,S07,GVWY,0.0
964.27,B00,ZIP,0.0
964.27,B01,SHVR,0.0
964.27,B02,ZIP,0.0
964.27,B03,RL,0.0
964.27,B04,ZIC,0.0
964.27,B05,RL,0.0
964.27,B06,GVWY,5.0
964.27,B07,SHVR,68.0
964.27,B08,RL,76.0
964.27,B09,GVWY,228.0
964.27,B10,ZIC,465.0
964.27,S00,GVWY,1496.0
964.27,S01,ZIP,1350.0
964.27,S02,ZIP,1052.0
964.27,S03,ZIC,633.0
964.27,S04,ZIC,236.0
964.27,S05,SHVR,0.0
964.27,S06,SHVR,0.0
964.27,S07,GVWY,0.0
1084.33,B00,ZIP,0.0
1084.33,B01,SHVR,0.0
1084.33,B02,ZIP,0.0
1084.33,B03,RL,0.0
1084.33,B04,ZIC,0.0
1084.33,B05,RL,0.0
1084.33,B06,GVWY,5.0
1084.33,B07,SHVR,71.0
1084.33,B08,RL,76.0
1084.33,B09,GVWY,250.0
1084.33,B10,ZIC,519.0
1084.33,S00,GVWY,1727.0
1084.33,S01,ZIP,1556.0
1084.33,S02,ZIP,1168.0
1084.33,S03,ZIC,698.0
1084.33,S04,ZIC,254.0
1084.33,S05,SHVR,0.0
1084.33,S06,SHVR,0.0
1084.33,S07,GVWY,0.0
1205.47,B00,ZIP,0.0
1205.47,B01,SHVR,0.0
1205.47,B02,ZIP,0.0
1205.47,B03,RL,0.0
1205.47,B04,ZIC,0.0
1205.47,B05,RL,0.0
1205.47,B06,GVWY,5.0
1205.47,B07,SHVR,73.0
1205.47,B08,RL,98.0
1205.47,B09,GVWY,274.0
1205.47,B10,ZIC,578.0
1205.47,S00,GVWY,1874.0
1205.47,S01,ZIP,1754.0
1205.47,S02,ZIP,1378.0
1205.47,S03,ZIC,759.0
1205.47,S04,ZIC,281.0
1205.47,S05,SHVR,0.0
1205.47,S06,SHVR,0.0
1205.47,S07,GVWY,0.0
1326.48,B00,ZIP,0.0
1326.48,B01,SHVR,0.0
1326.48,B02,ZIP,0.0
1326.48,B03,RL,0.0
1326.48,B04,ZIC,0.0
1326.48,B05,RL,0.0
1326.48,B06,GVWY,5.0
1326.48,B07,SHVR,84.0
1326.48,B08,RL,125.0
1326.48,B09,GVWY,297.0
1326.48,B10,ZIC,678.0
1326.48,S00,GVWY,2138.0
1326.48,S01,ZIP,1938.0
1326.48,S02,ZIP,1447.0
1326.48,S03,ZIC,819.0
1326.48,S04,ZIC,306.0
1326.48,S05,SHVR,0.0
1326.48,S06,SHVR,0.0
1326.48,S07,GVWY,0.0
1446.62,B00,ZIP,0.0
1446.62,B01,SHVR,0.0
1446.62,B02,ZIP,0.0
1446.62,B03,RL,0.0
1446.62,B04,ZIC,0.0
1446.62,B05,RL,0.0
1446.62,B06,GVWY,5.0
1446.62,B07,SHVR,92.0
1446.62,B08,RL,143.0
1446.62,B09,GVWY,325.0
1446.62,B10,ZIC,732.0
1446.62,S00,GVWY,2280.0
1446.62,S01,ZIP,2079.0
1446.62,S02,ZIP,1629.0
1446.62,S03,ZIC,877.0
1446.62,S04,ZIC,334.0
1446.62,S05,SHVR,0.0
1446.62,S06,SHVR,0.0
1446.62,S07,GVWY,0.0
1567.35,B00,ZIP,0.0
1567.35,B01,SHVR,0.0
1567.35,B02,ZIP,0.0
1567.35,B03,RL,0.0
1567.35,B04,ZIC,0.0
1567.35,B05,RL,0.0
1567.35,B06,GVWY,17.0
1567.35,B07,SHVR,98.0
