virtual_time,trader_id,trader_type,balance
602.95,S04,GVWY,38.0
602.95,S05,ZIP,40.0
602.95,S06,ZIC,0.0
602.95,S07,SHVR,0.0
663.05,B00,GA,0.0
663.05,B01,ZIC,0.0
663.05,B02,ZIC,0.0
663.05,B03,ZIP,0.0
663.05,B04,GVWY,0.0
663.05,B05,SHVR,35.0
663.05,B06,ZIP,156.0
663.05,B07,RL,245.0
663.05,B08,GVWY,304.0
663.05,B09,SHVR,607.0
663.05,S00,SHVR,919.0
663.05,S01,ZIP,744.0
663.05,S02,GVWY,409.0
663.05,S03,ZIC,164.0
663.05,S04,GVWY,39.0
663.05,S05,ZIP,41.0
663.05,S06,ZIC,0.0
663.05,S07,SHVR,0.0
723.07,B00,GA,0.0
723.07,B01,ZIC,0.0
723.07,B02,ZIC,0.0
723.07,B03,ZIP,0.0
723.07,B04,GVWY,0.0
723.07,B05,SHVR,35.0
723.07,B06,ZIP,168.0
723.07,B07,RL,263.0
723.07,B08,GVWY,331.0
723.07,B09,SHVR,665.0
723.07,S00,SHVR,960.0
723.07,S01,ZIP,825.0
723.07,S02,GVWY,433.0
723.07,S03,ZIC,207.0
723.07,S04,GVWY,40.0
723.07,S05,ZIP,42.0
723.07,S06,ZIC,0.0
723.07,S07,SHVR,0.0
783.24,B00,GA,0.0
783.24,B01,ZIC,0.0
783.24,B02,ZIC,0.0
783.24,B03,ZIP,0.0
783.24,B04,GVWY,0.0
783.24,B05,SHVR,36.0
783.24,B06,ZIP,179.0
783.24,B07,RL,285.0
783.24,B08,GVWY,369.0
783.24,B09,SHVR,720.0
783.24,S00,SHVR,1026.0
783.24,S01,ZIP,902.0
783.24,S02,GVWY,478.0
783.24,S03,ZIC,257.0
783.24,S04,GVWY,47.0
783.24,S05,ZIP,42.0
783.24,S06,ZIC,0.0
783.24,S07,SHVR,0.0
843.53,B00,GA,0.0
843.53,B01,ZIC,0.0
843.53,B02,ZIC,0.0
843.53,B03,ZIP,0.0
843.53,B04,GVWY,0.0
843.53,B05,SHVR,36.0
843.53,B06,ZIP,194.0
843.53,B07,RL,294.0
843.53,B08,GVWY,402.0
843.53,B09,SHVR,775.0
843.53,S00,SHVR,1148.0
843.53,S01,ZIP,938.0
843.53,S02,GVWY,521.0
843.53,S03,ZIC,257.0
843.53,S04,GVWY,51.0
843.53,S05,ZIP,43.0
843.53,S06,ZIC,0.0
843.53,S07,SHVR,0.0
903.77,B00,GA,0.0
903.77,B01,ZIC,0.0
903.77,B02,ZIC,0.0
903.77,B03,ZIP,0.0
903.77,B04,GVWY,0.0
903.77,B05,SHVR,36.0
903.77,B06,ZIP,219.0
903.77,B07,RL,317.0
903.77,B08,GVWY,443.0
903.77,B09,SHVR,847.0
903.77,S00,SHVR,1181.0
903.77,S01,ZIP,1043.0
903.77,S02,GVWY,554.0
903.77,S03,ZIC,270.0
903.77,S04,GVWY,58.0
903.77,S05,ZIP,43.0
903.77,S06,ZIC,0.0
903.77,S07,SHVR,0.0
963.92,B00,GA,0.0
963.92,B01,ZIC,0.0
963.92,B02,ZIC,0.0
963.92,B03,ZIP,0.0
963.92,B04,GVWY,0.0
963.92,B05,SHVR,36.0
963.92,B06,ZIP,227.0
963.92,B07,RL,326.0
963.92,B08,GVWY,479.0
963.92,B09,SHVR,914.0
963.92,S00,SHVR,1296.0
963.92,S01,ZIP,1116.0
963.92,S02,GVWY,594.0
963.92,S03,ZIC,279.0
963.92,S04,GVWY,58.0
963.92,S05,ZIP,45.0
963.92,S06,ZIC,0.0
963.92,S07,SHVR,0.0
1023.96,B00,GA,0.0
1023.96,B01,ZIC,0.0
1023.96,B02,ZIC,0.0
1023.96,B03,ZIP,0.0
1023.96,B04,GVWY,0.0
1023.96,B05,SHVR,36.0
1023.96,B06,ZIP,236.0
1023.96,B07,RL,347.0
1023.96,B08,GVWY,532.0
1023.96,B09,SHVR,979.0
1023.96,S00,SHVR,1337.0
1023.96,S01,ZIP,1182.0
1023.96,S02,GVWY,626.0
1023.96,S03,ZIC,283.0
1023.96,S04,GVWY,58.0
1023.96,S05,ZIP,45.0
1023.96,S06,ZIC,0.0
1023.96,S07,SHVR,0.0
1084.01,B00,GA,0.0
1084.01,B01,ZIC,0.0
1084.01,B02,ZIC,0.0
1084.01,B03,ZIP,0.0
1084.01,B04,GVWY,0.0
1084.01,B05,SHVR,42.0
1084.01,B06,ZIP,264.0
1084.01,B07,RL,378.0
1084.01,B08,GVWY,567.0
1084.01,B09,SHVR,1039.0
1084.01,S00,SHVR,1370.0
1084.01,S01,ZIP,1248.0
1084.01,S02,GVWY,669.0
1084.01,S03,ZIC,319.0
1084.01,S04,GVWY,58.0
1084.01,S05,ZIP,46.0
1084.01,S06,ZIC,0.0
1084.01,S07,SHVR,0.0
1144.44,B00,GA,0.0
1144.44,B01,ZIC,0.0
1144.44,B02,ZIC,0.0
1144.44,B03,ZIP,0.0
1144.44,B04,GVWY,0.0
1144.44,B05,SHVR,42.0
1144.44,B06,ZIP,282.0
1144.44,B07,RL,394.0
1144.44,B08,GVWY,613.0
1144.44,B09,SHVR,1072.0
1144.44,S00,SHVR,1482.0
1144.44,S01,ZIP,1314.0
1144.44,S02,GVWY,701.0
1144.44,S03,ZIC,328.0
1144.44,S04,GVWY,58.0
1144.44,S05,ZIP,46.0
1144.44,S06,ZIC,0.0
1144.44,S07,SHVR,0.0
1204.78,B00,GA,0.0
1204.78,B01,ZIC,0.0
1204.78,B02,ZIC,0.0
1204.78,B03,ZIP,0.0
1204.78,B04,GVWY,0.0
1204.78,B05,SHVR,45.0
