virtual_time,trader_id,trader_type,balance
120.06,B00,ZIC,0.0
120.06,B01,ZIC,0.0
120.06,B02,SHVR,0.0
120.06,B03,GVWY,0.0
120.06,B04,GVWY,0.0
120.06,B05,RL,0.0
120.06,B06,ZIP,9.0
120.06,B07,ZIP,18.0
120.06,B08,RL,26.0
120.06,B09,SHVR,40.0
120.06,B10,RL,47.0
120.06,S00,ZIP,191.0
120.06,S01,GVWY,166.0
120.06,S02,ZIC,115.0
120.06,S03,ZIC,66.0
120.06,S04,SHVR,0.0
120.06,S05,ZIP,16.0
120.06,S06,SHVR,0.0
120.06,S07,GVWY,0.0
240.88,B00,ZIC,0.0
240.88,B01,ZIC,0.0
240.88,B02,SHVR,0.0
240.88,B03,GVWY,0.0
240.88,B04,GVWY,0.0
240.88,B05,RL,0.0
240.88,B06,ZIP,14.0
240.88,B07,ZIP,29.0
240.88,B08,RL,59.0
240.88,B09,SHVR,83.0
240.88,B10,RL,120.0
240.88,S00,ZIP,398.0
240.88,S01,GVWY,319.0
240.88,S02,ZIC,156.0
240.88,S03,ZIC,105.0
240.88,S04,SHVR,0.0
240.88,S05,ZIP,28.0
240.88,S06,SHVR,0.0
240.88,S07,GVWY,0.0
361.40,B00,ZIC,0.0
361.40,B01,ZIC,0.0
361.40,B02,SHVR,0.0
361.40,B03,GVWY,0.0
361.40,B04,GVWY,0.0
361.40,B05,RL,0.0
361.40,B06,ZIP,22.0
361.40,B07,ZIP,56.0
361.40,B08,RL,83.0
361.40,B09,SHVR,154.0
361.40,B10,RL,183.0
361.40,S00,ZIP,560.0
361.40,S01,GVWY,426.0
361.40,S02,ZIC,304.0
361.40,S03,ZIC,167.0
361.40,S04,SHVR,0.0
361.40,S05,ZIP,36.0
361.40,S06,SHVR,0.0
361.40,S07,GVWY,0.0
482.46,B00,ZIC,0.0
482.46,B01,ZIC,0.0
482.46,B02,SHVR,0.0
482.46,B03,GVWY,0.0
482.46,B04,GVWY,0.0
482.46,B05,RL,5.0
482.46,B06,ZIP,27.0
482.46,B07,ZIP,65.0
482.46,B08,RL,108.0
482.46,B09,SHVR,200.0
482.46,B10,RL,248.0
482.46,S00,ZIP,715.0
482.46,S01,GVWY,579.0
482.46,S02,ZIC,360.0
482.46,S03,ZIC,211.0
482.46,S04,SHVR,0.0
482.46,S05,ZIP,46.0
482.46,S06,SHVR,0.0
482.46,S07,GVWY,0.0
603.28,B00,ZIC,0.0
603.28,B01,ZIC,0.0
603.28,B02,SHVR,0.0
603.28,B03,GVWY,0.0
603.28,B04,GVWY,0.0
603.28,B05,RL,5.0
603.28,B06,ZIP,29.0
603.28,B07,ZIP,93.0
603.28,B08,RL,139.0
603.28,B09,SHVR,272.0
603.28,B10,RL,337.0
603.28,S00,ZIP,922.0
603.28,S01,GVWY,723.0
603.28,S02,ZIC,410.0
603.28,S03,ZIC,278.0
603.28,S04,SHVR,0.0
603.28,S05,ZIP,47.0
603.28,S06,SHVR,0.0
603.28,S07,GVWY,0.0
723.89,B00,ZIC,0.0
723.89,B01,ZIC,0.0
723.89,B02,SHVR,0.0
723.89,B03,GVWY,0.0
723.89,B04,GVWY,0.0
723.89,B05,RL,5.0
723.89,B06,ZIP,37.0
723.89,B07,ZIP,105.0
723.89,B08,RL,157.0
723.89,B09,SHVR,333.0
723.89,B10,RL,445.0
723.89,S00,ZIP,1136.0
723.89,S01,GVWY,863.0
723.89,S02,ZIC,576.0
723.89,S03,ZIC,310.0
723.89,S04,SHVR,0.0
723.89,S05,ZIP,50.0
723.89,S06,SHVR,0.0
723.89,S07,GVWY,0.0
844.60,B00,ZIC,0.0
844.60,B01,ZIC,0.0
844.60,B02,SHVR,0.0
844.60,B03,GVWY,0.0
844.60,B04,GVWY,0.0
844.60,B05,RL,5.0
844.60,B06,ZIP,45.0
844.60,B07,ZIP,122.0
844.60,B08,RL,196.0
844.60,B09,SHVR,399.0
844.60,B10,RL,507.0
844.60,S00,ZIP,1352.0
844.60,S01,GVWY,1013.0
844.60,S02,ZIC,677.0
844.60,S03,ZIC,378.0
844.60,S04,SHVR,0.0
844.60,S05,ZIP,53.0
844.60,S06,SHVR,0.0
844.60,S07,GVWY,0.0
964.77,B00,ZIC,0.0
964.77,B01,ZIC,0.0
964.77,B02,SHVR,0.0
964.77,B03,GVWY,0.0
964.77,B04,GVWY,0.0
964.77,B05,RL,5.0
964.77,B06,ZIP,53.0
964.77,B07,ZIP,145.0
964.77,B08,RL,211.0
964.77,B09,SHVR,449.0
964.77,B10,RL,548.0
964.77,S00,ZIP,1512.0
964.77,S01,GVWY,1128.0
964.77,S02,ZIC,753.0
964.77,S03,ZIC,440.0
964.77,S04,SHVR,0.0
964.77,S05,ZIP,58.0
964.77,S06,SHVR,0.0
964.77,S07,GVWY,0.0
1085.74,B00,ZIC,0.0
1085.74,B01,ZIC,0.0
1085.74,B02,SHVR,0.0
1085.74,B03,GVWY,0.0
1085.74,B04,GVWY,0.0
1085.74,B05,RL,5.0
1085.74,B06,ZIP,55.0
1085.74,B07,ZIP,164.0
1085.74,B08,RL,240.0
1085.74,B09,SHVR,524.0
1085.74,B10,RL,639.0
1085.74,S00,ZIP,1771.0
1085.74,S01,GVWY,1244.0
1085.74,S02,ZIC,879.0
1085.74,S03,ZIC,468.0
1085.74,S04,SHVR,0.0
1085.74,S05,ZIP,60.0
1085.74,S06,SHVR,0.0
1085.74,S07,GVWY,0.0
1206.07,B00,ZIC,0.0
1206.07,B01,ZIC,0.0
1206.07,B02,SHVR,0.0
1206.07,B03,GVWY,0.0
1206.07,B04,GVWY,0.0
1206.07,B05,RL,5.0
1206.07,B06,ZIP,64.0
1206.07,B07,ZIP,202.0
1206.07,B08,RL,259.0
1206.07,B09,SHVR,596.0
1206.07,B10,RL,707.0
1206.07,S00,ZIP,1927.0
1206.07,S01,GVWY,1421.0
1206.07,S02,ZIC,954.0
1206.07,S03,ZIC,519.0
1206.07,S04,SHVR,0.0
1206.07,S05,ZIP,63.0
1206.07,S06,SHVR,0.0
1206.07,S07,GVWY,0.0
1326.13,B00,ZIC,0.0
1326.13,B01,ZIC,0.0
1326.13,B02,SHVR,0.0
1326.13,B03,GVWY,0.0
1326.13,B04,GVWY,0.0
1326.13,B05,RL,5.0
1326.13,B06,ZIP,71.0
1326.13,B07,ZIP,224.0
1326.13,B08,RL,298.0
