35.71887016296387, 83
35.758352279663086, 81
36.511802673339844, 90
42.24042892456055, 107
73.24576377868652, 85
73.2853889465332, 89
73.54230880737305, 90
73.86560440063477, 103
85.95585823059082, 105
110.0855827331543, 86
116.17341041564941, 96
121.66256904602051, 96
145.27487754821777, 96
149.1936206817627, 93
155.46698570251465, 98
159.69042778015137, 96
161.30218505859375, 97
189.91355895996094, 103
192.25616455078125, 103
192.5123691558838, 104
211.27581596374512, 108
223.57678413391113, 94
223.92454147338867, 95
229.52585220336914, 95
239.58392143249512, 98
260.8161449432373, 63
262.18128204345703, 72
268.7875270843506, 93
273.38619232177734, 92
274.67823028564453, 93
288.78679275512695, 98
298.6809253692627, 91
304.0220260620117, 95
306.4537525177002, 96
335.0342273712158, 44
337.0759963989258, 63
337.65692710876465, 65
337.73603439331055, 80
344.88744735717773, 88
374.23338890075684, 48
375.435733795166, 76
376.3885974884033, 61
378.3724308013916, 58
412.2096061706543, 78
435.1574420928955, 86
443.5978889465332, 88
449.56583976745605, 103
457.2216510772705, 100
460.62841415405273, 99
486.93251609802246, 104
487.2330665588379, 104
500.917911529541, 101
513.0849838256836, 102
524.6601104736328, 76
527.2467613220215, 89
532.9407691955566, 91
536.9304656982422, 93
562.970781326294, 85
565.2232646942139, 98
577.6451110839844, 94
584.6353054046631, 94
597.0441341400146, 88
599.2918968200684, 86
42.421817779541016, 97
43.70241165161133, 79
44.38004493713379, 99
44.40665245056152, 105
49.422311782836914, 103
77.17294692993164, 105
79.13589477539062, 95
80.47385215759277, 104
81.88490867614746, 102
82.69329071044922, 100
116.08729362487793, 74
119.04244422912598, 87
119.64726448059082, 78
119.96240615844727, 102
155.8846950531006, 97
170.92466354370117, 98
188.68145942687988, 96
201.26953125, 102
228.05113792419434, 94
231.2303066253662, 96
231.78019523620605, 89
245.88017463684082, 97
265.98544120788574, 94
269.1859245300293, 84
269.5499897003174, 90
303.1688690185547, 90
306.00414276123047, 83
306.74328804016113, 90
340.92793464660645, 90
343.0359363555908, 73
343.3831214904785, 71
345.2197551727295, 79
365.4613494873047, 88
372.4395275115967, 91
377.67491340637207, 72
379.9992084503174, 69
380.97968101501465, 68
383.391809463501, 78
389.3584728240967, 93
410.17298698425293, 86
416.066837310791, 74
417.31653213500977, 80
418.207311630249, 88
453.4571170806885, 88
455.0675868988037, 100
455.1064968109131, 92
461.2800121307373, 96
465.3003215789795, 92
467.62590408325195, 90
467.8274631500244, 86
487.36538887023926, 96
491.15023612976074, 85
492.9496765136719, 99
497.3466396331787, 89
516.2992000579834, 99
528.3657073974609, 72
530.1632881164551, 80
531.9281101226807, 78
549.3538856506348, 90
567.6239490509033, 109
582.8239917755127, 106
585.4867458343506, 105
34.320974349975586, 125
34.37361717224121, 100
40.012407302856445, 100
40.502357482910156, 108
72.37071990966797, 91
72.44982719421387, 100
92.2027587890625, 99
110.6564998626709, 100
111.72552108764648, 92
114.98322486877441, 97
129.96468544006348, 97
146.45705223083496, 96
148.16479682922363, 94
150.29911994934082, 98
151.92346572875977, 96
186.19494438171387, 105
191.99810028076172, 106
192.7924633026123, 105
212.57271766662598, 107
221.08168601989746, 106
223.49824905395508, 92
223.62899780273438, 90
225.55432319641113, 88
226.83348655700684, 86
229.14834022521973, 101
237.9953384399414, 103
258.42061042785645, 104
260.96978187561035, 86
264.3124580383301, 86
264.3580913543701, 88
289.6549701690674, 92
298.16579818725586, 70
298.19555282592773, 84
301.74479484558105, 77
302.3737907409668, 84
308.8653087615967, 87
333.82372856140137, 85
334.46645736694336, 43
335.044527053833, 58
339.1446590423584, 78
339.3472194671631, 53
352.9347896575928, 77
377.0364761352539, 59
377.0620822906494, 58
377.36878395080566, 56
378.6184787750244, 64
378.8646697998047, 65
384.9436283111572, 74
414.41259384155273, 80
414.58568572998047, 78
414.673376083374, 76
451.83634757995605, 95
452.4676322937012, 85
458.1895351409912, 100
487.697696685791, 107
489.2987251281738, 90
489.5562171936035, 90
510.0597381591797, 94
516.5657043457031, 93
526.0612964630127, 89
526.0887622833252, 58
527.6474475860596, 74
529.1656494140625, 68
544.7084426879883, 80
563.2445812225342, 86
564.7414684295654, 98
569.6486949920654, 97
601.0219573974609, 65
601.964521408081, 83
603.2339572906494, 79
34.305667877197266, 95
41.20588302612305, 96
41.840171813964844, 99
47.66378402709961, 101
54.259300231933594, 112
78.29475402832031, 106
79.8515796661377, 108
79.89263534545898, 100
92.21878051757812, 106
97.79677391052246, 105
