virtual_time,trader_id,trader_type,balance
605.78,B00,GA,0.0
605.78,B01,ZIP,0.0
605.78,B02,ZIP,0.0
605.78,B03,GA,0.0
605.78,B04,GA,3.0
605.78,B05,ZIC,0.0
605.78,B06,SHVR,6.0
605.78,B07,GVWY,50.0
605.78,B08,GVWY,75.0
605.78,B09,ZIC,121.0
605.78,B10,SHVR,311.0
605.78,S00,ZIC,443.0
605.78,S01,ZIP,615.0
605.78,S02,ZIP,492.0
605.78,S03,ZIC,43.0
605.78,S04,SHVR,68.0
605.78,S05,SHVR,0.0
605.78,S06,GVWY,0.0
605.78,S07,GVWY,0.0
1210.02,B00,GA,0.0
1210.02,B01,ZIP,0.0
1210.02,B02,ZIP,0.0
1210.02,B03,GA,0.0
1210.02,B04,GA,3.0
1210.02,B05,ZIC,0.0
1210.02,B06,SHVR,6.0
1210.02,B07,GVWY,50.0
1210.02,B08,GVWY,104.0
1210.02,B09,ZIC,209.0
1210.02,B10,SHVR,510.0
1210.02,S00,ZIC,1081.0
1210.02,S01,ZIP,1237.0
1210.02,S02,ZIP,992.0
1210.02,S03,ZIC,165.0
1210.02,S04,SHVR,68.0
1210.02,S05,SHVR,0.0
1210.02,S06,GVWY,0.0
1210.02,S07,GVWY,0.0
1815.82,B00,GA,0.0
1815.82,B01,ZIP,0.0
1815.82,B02,ZIP,0.0
1815.82,B03,GA,0.0
1815.82,B04,GA,3.0
1815.82,B05,ZIC,0.0
1815.82,B06,SHVR,6.0
1815.82,B07,GVWY,50.0
1815.82,B08,GVWY,115.0
1815.82,B09,ZIC,244.0
1815.82,B10,SHVR,869.0
1815.82,S00,ZIC,1741.0
1815.82,S01,ZIP,1774.0
1815.82,S02,ZIP,1488.0
1815.82,S03,ZIC,323.0
1815.82,S04,SHVR,68.0
1815.82,S05,SHVR,0.0
1815.82,S06,GVWY,0.0
1815.82,S07,GVWY,0.0
2420.62,B00,GA,0.0
2420.62,B01,ZIP,0.0
2420.62,B02,ZIP,0.0
2420.62,B03,GA,0.0
2420.62,B04,GA,3.0
2420.62,B05,ZIC,0.0
2420.62,B06,SHVR,10.0
2420.62,B07,GVWY,56.0
2420.62,B08,GVWY,179.0
2420.62,B09,ZIC,368.0
2420.62,B10,SHVR,1197.0
2420.62,S00,ZIC,2418.0
2420.62,S01,ZIP,2862.0
2420.62,S02,ZIP,2239.0
2420.62,S03,ZIC,487.0
2420.62,S04,SHVR,68.0
2420.62,S05,SHVR,0.0
2420.62,S06,GVWY,0.0
2420.62,S07,GVWY,0.0
3024.10,B00,GA,0.0
3024.10,B01,ZIP,0.0
3024.10,B02,ZIP,0.0
3024.10,B03,GA,0.0
3024.10,B04,GA,3.0
3024.10,B05,ZIC,0.0
3024.10,B06,SHVR,10.0
3024.10,B07,GVWY,56.0
3024.10,B08,GVWY,179.0
3024.10,B09,ZIC,398.0
3024.10,B10,SHVR,1405.0
3024.10,S00,ZIC,3312.0
3024.10,S01,ZIP,3177.0
3024.10,S02,ZIP,2565.0
3024.10,S03,ZIC,648.0
3024.10,S04,SHVR,68.0
3024.10,S05,SHVR,0.0
3024.10,S06,GVWY,0.0
3024.10,S07,GVWY,0.0
3624.51,B00,GA,0.0
3624.51,B01,ZIP,0.0
3624.51,B02,ZIP,0.0
3624.51,B03,GA,0.0
3624.51,B04,GA,3.0
3624.51,B05,ZIC,0.0
3624.51,B06,SHVR,13.0
3624.51,B07,GVWY,64.0
3624.51,B08,GVWY,234.0
3624.51,B09,ZIC,511.0
3624.51,B10,SHVR,1726.0
3624.51,S00,ZIC,3716.0
3624.51,S01,ZIP,4403.0
3624.51,S02,ZIP,3219.0
3624.51,S03,ZIC,824.0
3624.51,S04,SHVR,68.0
3624.51,S05,SHVR,0.0
3624.51,S06,GVWY,0.0
