virtual_time,trader_id,trader_type,balance
60.09,B00,GVWY,0.0
60.09,B01,SHVR,0.0
60.09,B02,GVWY,0.0
60.09,B03,ZIP,0.0
60.09,B04,GA,0.0
60.09,B05,ZIC,0.0
60.09,B06,SHVR,31.0
60.09,B07,ZIC,19.0
60.09,B08,ZIP,66.0
60.09,B09,RL,22.0
60.09,S00,GVWY,64.0
60.09,S01,ZIC,47.0
60.09,S02,SHVR,12.0
60.09,S03,SHVR,0.0
60.09,S04,ZIP,2.0
60.09,S05,GVWY,0.0
60.09,S06,ZIC,0.0
60.09,S07,ZIP,0.0
120.19,B00,GVWY,0.0
120.19,B01,SHVR,0.0
120.19,B02,GVWY,0.0
120.19,B03,ZIP,1.0
120.19,B04,GA,0.0
120.19,B05,ZIC,0.0
120.19,B06,SHVR,31.0
120.19,B07,ZIC,43.0
120.19,B08,ZIP,86.0
120.19,B09,RL,66.0
120.19,S00,GVWY,97.0
120.19,S01,ZIC,87.0
120.19,S02,SHVR,40.0
120.19,S03,SHVR,0.0
120.19,S04,ZIP,10.0
120.19,S05,GVWY,0.0
120.19,S06,ZIC,0.0
120.19,S07,ZIP,0.0
180.26,B00,GVWY,0.0
180.26,B01,SHVR,0.0
180.26,B02,GVWY,0.0
180.26,B03,ZIP,2.0
180.26,B04,GA,0.0
180.26,B05,ZIC,0.0
180.26,B06,SHVR,33.0
180.26,B07,ZIC,55.0
180.26,B08,ZIP,158.0
180.26,B09,RL,116.0
180.26,S00,GVWY,235.0
180.26,S01,ZIC,153.0
180.26,S02,SHVR,67.0
180.26,S03,SHVR,0.0
180.26,S04,ZIP,35.0
180.26,S05,GVWY,0.0
180.26,S06,ZIC,0.0
180.26,S07,ZIP,0.0
240.68,B00,GVWY,0.0
240.68,B01,SHVR,0.0
240.68,B02,GVWY,0.0
240.68,B03,ZIP,2.0
240.68,B04,GA,0.0
240.68,B05,ZIC,0.0
240.68,B06,SHVR,33.0
240.68,B07,ZIC,70.0
240.68,B08,ZIP,177.0
240.68,B09,RL,160.0
240.68,S00,GVWY,335.0
240.68,S01,ZIC,230.0
240.68,S02,SHVR,79.0
240.68,S03,SHVR,0.0
240.68,S04,ZIP,57.0
240.68,S05,GVWY,0.0
240.68,S06,ZIC,0.0
240.68,S07,ZIP,0.0
301.10,B00,GVWY,0.0
301.10,B01,SHVR,0.0
301.10,B02,GVWY,0.0
301.10,B03,ZIP,2.0
301.10,B04,GA,0.0
301.10,B05,ZIC,0.0
301.10,B06,SHVR,33.0
301.10,B07,ZIC,80.0
301.10,B08,ZIP,209.0
301.10,B09,RL,204.0
301.10,S00,GVWY,418.0
301.10,S01,ZIC,310.0
301.10,S02,SHVR,120.0
301.10,S03,SHVR,0.0
301.10,S04,ZIP,68.0
301.10,S05,GVWY,0.0
301.10,S06,ZIC,0.0
301.10,S07,ZIP,0.0
361.51,B00,GVWY,0.0
361.51,B01,SHVR,0.0
361.51,B02,GVWY,0.0
361.51,B03,ZIP,2.0
361.51,B04,GA,0.0
361.51,B05,ZIC,5.0
361.51,B06,SHVR,33.0
361.51,B07,ZIC,104.0
361.51,B08,ZIP,251.0
361.51,B09,RL,250.0
361.51,S00,GVWY,497.0
361.51,S01,ZIC,385.0
361.51,S02,SHVR,147.0
361.51,S03,SHVR,0.0
361.51,S04,ZIP,77.0
361.51,S05,GVWY,0.0
361.51,S06,ZIC,0.0
361.51,S07,ZIP,0.0
421.62,B00,GVWY,0.0
421.62,B01,SHVR,0.0
421.62,B02,GVWY,0.0
421.62,B03,ZIP,2.0
421.62,B04,GA,0.0
421.62,B05,ZIC,5.0
421.62,B06,SHVR,42.0
421.62,B07,ZIC,118.0
421.62,B08,ZIP,296.0
421.62,B09,RL,296.0
421.62,S00,GVWY,538.0
421.62,S01,ZIC,448.0
421.62,S02,SHVR,192.0
421.62,S03,SHVR,0.0
421.62,S04,ZIP,104.0
421.62,S05,GVWY,0.0
421.62,S06,ZIC,0.0
421.62,S07,ZIP,0.0
481.64,B00,GVWY,0.0
481.64,B01,SHVR,0.0
481.64,B02,GVWY,0.0
481.64,B03,ZIP,2.0
481.64,B04,GA,0.0
481.64,B05,ZIC,5.0
481.64,B06,SHVR,58.0
481.64,B07,ZIC,133.0
481.64,B08,ZIP,317.0
481.64,B09,RL,318.0
481.64,S00,GVWY,616.0
481.64,S01,ZIC,484.0
481.64,S02,SHVR,221.0
481.64,S03,SHVR,0.0
481.64,S04,ZIP,110.0
481.64,S05,GVWY,0.0
481.64,S06,ZIC,0.0
481.64,S07,ZIP,0.0
542.18,B00,GVWY,0.0
542.18,B01,SHVR,0.0
542.18,B02,GVWY,0.0
542.18,B03,ZIP,2.0
542.18,B04,GA,0.0
542.18,B05,ZIC,5.0
542.18,B06,SHVR,67.0
542.18,B07,ZIC,153.0
542.18,B08,ZIP,395.0
542.18,B09,RL,386.0
542.18,S00,GVWY,698.0
542.18,S01,ZIC,609.0
542.18,S02,SHVR,245.0
542.18,S03,SHVR,0.0
542.18,S04,ZIP,125.0
542.18,S05,GVWY,0.0
542.18,S06,ZIC,0.0
542.18,S07,ZIP,0.0
602.25,B00,GVWY,0.0
602.25,B01,SHVR,0.0
602.25,B02,GVWY,0.0
602.25,B03,ZIP,2.0
602.25,B04,GA,0.0
602.25,B05,ZIC,5.0
602.25,B06,SHVR,72.0
602.25,B07,ZIC,163.0
602.25,B08,ZIP,437.0
602.25,B09,RL,429.0
602.25,S00,GVWY,778.0
602.25,S01,ZIC,668.0
602.25,S02,SHVR,307.0
602.25,S03,SHVR,0.0
602.25,S04,ZIP,148.0
602.25,S05,GVWY,0.0
602.25,S06,ZIC,0.0
602.25,S07,ZIP,0.0
662.83,B00,GVWY,0.0
662.83,B01,SHVR,0.0
662.83,B02,GVWY,0.0
662.83,B03,ZIP,3.0
662.83,B04,GA,0.0
662.83,B05,ZIC,5.0
662.83,B06,SHVR,72.0
662.83,B07,ZIC,178.0
662.83,B08,ZIP,462.0
662.83,B09,RL,473.0
662.83,S00,GVWY,893.0
662.83,S01,ZIC,691.0
662.83,S02,SHVR,319.0
662.83,S03,SHVR,0.0
662.83,S04,ZIP,165.0
662.83,S05,GVWY,0.0
662.83,S06,ZIC,0.0
662.83,S07,ZIP,0.0
723.02,B00,GVWY,0.0
723.02,B01,SHVR,0.0
723.02,B02,GVWY,0.0
723.02,B03,ZIP,3.0
723.02,B04,GA,0.0
723.02,B05,ZIC,5.0
723.02,B06,SHVR,83.0
723.02,B07,ZIC,183.0
