virtual_time,trader_id,trader_type,balance
60.57,B00,ZIC,0.0
60.57,B01,SHVR,0.0
60.57,B02,SHVR,0.0
60.57,B03,GVWY,0.0
60.57,B04,ZIC,0.0
60.57,B05,ZIP,35.0
60.57,B06,RL,3.0
60.57,B07,GVWY,16.0
60.57,B08,ZIP,45.0
60.57,B09,GA,37.0
60.57,S00,ZIP,48.0
60.57,S01,SHVR,52.0
60.57,S02,ZIC,37.0
60.57,S03,GVWY,23.0
60.57,S04,ZIP,18.0
60.57,S05,SHVR,0.0
60.57,S06,ZIC,0.0
60.57,S07,GVWY,0.0
120.58,B00,ZIC,0.0
120.58,B01,SHVR,0.0
120.58,B02,SHVR,0.0
120.58,B03,GVWY,0.0
120.58,B04,ZIC,0.0
120.58,B05,ZIP,44.0
120.58,B06,RL,8.0
120.58,B07,GVWY,22.0
120.58,B08,ZIP,62.0
120.58,B09,GA,82.0
120.58,S00,ZIP,143.0
120.58,S01,SHVR,117.0
120.58,S02,ZIC,73.0
120.58,S03,GVWY,41.0
120.58,S04,ZIP,59.0
120.58,S05,SHVR,0.0
120.58,S06,ZIC,0.0
120.58,S07,GVWY,0.0
181.11,B00,ZIC,0.0
181.11,B01,SHVR,0.0
181.11,B02,SHVR,0.0
181.11,B03,GVWY,0.0
181.11,B04,ZIC,0.0
181.11,B05,ZIP,53.0
181.11,B06,RL,10.0
181.11,B07,GVWY,44.0
181.11,B08,ZIP,124.0
181.11,B09,GA,86.0
181.11,S00,ZIP,247.0
181.11,S01,SHVR,175.0
181.11,S02,ZIC,114.0
181.11,S03,GVWY,82.0
181.11,S04,ZIP,102.0
181.11,S05,SHVR,0.0
181.11,S06,ZIC,0.0
181.11,S07,GVWY,0.0
241.56,B00,ZIC,0.0
241.56,B01,SHVR,0.0
241.56,B02,SHVR,0.0
241.56,B03,GVWY,0.0
241.56,B04,ZIC,0.0
241.56,B05,ZIP,56.0
241.56,B06,RL,19.0
241.56,B07,GVWY,44.0
241.56,B08,ZIP,153.0
241.56,B09,GA,88.0
241.56,S00,ZIP,320.0
241.56,S01,SHVR,209.0
241.56,S02,ZIC,185.0
241.56,S03,GVWY,122.0
241.56,S04,ZIP,118.0
241.56,S05,SHVR,0.0
241.56,S06,ZIC,0.0
241.56,S07,GVWY,0.0
302.00,B00,ZIC,0.0
302.00,B01,SHVR,0.0
302.00,B02,SHVR,0.0
302.00,B03,GVWY,0.0
302.00,B04,ZIC,0.0
302.00,B05,ZIP,68.0
