trial0000001, GDX, 1863.0, 10, 186.30, 7.40, 0.00015620, 0.00000202, ZIP, 1113.0, 10, 111.30, 5.20, 0.00000402, 0.00000555
trial0000002, GDX, 964.0, 10, 96.40, 4.40, 0.00016619, 0.00000236, ZIP, 2074.0, 10, 207.40, 8.00, 0.00000398, 0.00000580
trial0000003, GDX, 1759.0, 10, 175.90, 5.20, 0.00016926, 0.00000194, ZIP, 1304.0, 10, 130.40, 8.80, 0.00000362, 0.00000509
trial0000004, GDX, 703.0, 10, 70.30, 4.40, 0.00015024, 0.00000189, ZIP, 1736.0, 10, 173.60, 6.80, 0.00000362, 0.00000518
trial0000005, GDX, 1323.0, 10, 132.30, 4.90, 0.00015726, 0.00000182, ZIP, 1978.0, 10, 197.80, 9.30, 0.00000361, 0.00000476
trial0000006, GDX, 1536.0, 10, 153.60, 5.30, 0.00014840, 0.00000218, ZIP, 1409.0, 10, 140.90, 6.70, 0.00000420, 0.00000561
trial0000007, GDX, 1388.0, 10, 138.80, 5.20, 0.00016861, 0.00000202, ZIP, 1688.0, 10, 168.80, 9.00, 0.00000420, 0.00000532
trial0000008, GDX, 977.0, 10, 97.70, 5.40, 0.00014872, 0.00000196, ZIP, 1661.0, 10, 166.10, 6.60, 0.00000384, 0.00000515
trial0000009, GDX, 515.0, 10, 51.50, 3.10, 0.00013300, 0.00000203, ZIP, 1954.0, 10, 195.40, 6.70, 0.00000364, 0.00000520
trial0000010, GDX, 1274.0, 10, 127.40, 5.20, 0.00014476, 0.00000193, ZIP, 1561.0, 10, 156.10, 7.60, 0.00000356, 0.00000512
trial0000011, GDX, 1583.0, 10, 158.30, 5.80, 0.00015244, 0.00000201, ZIP, 1762.0, 10, 176.20, 9.00, 0.00000387, 0.00000538
trial0000012, GDX, 1125.0, 10, 112.50, 4.40, 0.00015290, 0.00000190, ZIP, 1872.0, 10, 187.20, 7.40, 0.00000372, 0.00000535
trial0000013, GDX, 1140.0, 10, 114.00, 4.30, 0.00015224, 0.00000188, ZIP, 1899.0, 10, 189.90, 8.30, 0.00000357, 0.00000470
trial0000014, GDX, 1712.0, 10, 171.20, 6.40, 0.00014502, 0.00000225, ZIP, 1384.0, 10, 138.40, 7.60, 0.00000432, 0.00000562
trial0000015, GDX, 1354.0, 10, 135.40, 5.20, 0.00015222, 0.00000200, ZIP, 1651.0, 10, 165.10, 7.60, 0.00000373, 0.00000544
trial0000016, GDX, 947.0, 10, 94.70, 3.60, 0.00013624, 0.00000211, ZIP, 2071.0, 10, 207.10, 9.00, 0.00000404, 0.00000523
trial0000017, GDX, 1490.0, 10, 149.00, 6.30, 0.00017465, 0.00000236, ZIP, 1752.0, 10, 175.20, 8.90, 0.00000449, 0.00000659
trial0000018, GDX, 1258.0, 10, 125.80, 5.40, 0.00015427, 0.00000201, ZIP, 1857.0, 10, 185.70, 8.40, 0.00000359, 0.00000538
trial0000019, GDX, 799.0, 10, 79.90, 3.40, 0.00015219, 0.00000200, ZIP, 1999.0, 10, 199.90, 8.80, 0.00000353, 0.00000497
trial0000020, GDX, 963.0, 10, 96.30, 4.20, 0.00014577, 0.00000184, ZIP, 2393.0, 10, 239.30, 9.20, 0.00000360, 0.00000478
trial0000021, GDX, 955.0, 10, 95.50, 4.50, 0.00014464, 0.00000200, ZIP, 1697.0, 10, 169.70, 7.50, 0.00000353, 0.00000511
trial0000022, GDX, 1459.0, 10, 145.90, 5.20, 0.00014315, 0.00000204, ZIP, 1606.0, 10, 160.60, 7.60, 0.00000388, 0.00000539
trial0000023, GDX, 1290.0, 10, 129.00, 5.80, 0.00013044, 0.00000288, ZIP, 1798.0, 10, 179.80, 7.40, 0.00000363, 0.00000542
trial0000024, GDX, 984.0, 10, 98.40, 4.60, 0.00016010, 0.00000192, ZIP, 2010.0, 10, 201.00, 7.80, 0.00000368, 0.00000505
trial0000025, GDX, 1497.0, 10, 149.70, 6.50, 0.00015961, 0.00000190, ZIP, 1673.0, 10, 167.30, 7.10, 0.00000355, 0.00000503
