virtual_time,trader_id,trader_type,balance
60.35,B00,SHVR,0.0
60.35,B01,SHVR,0.0
60.35,B02,ZIP,0.0
60.35,B03,GA,0.0
60.35,B04,GVWY,0.0
60.35,B05,GVWY,2.0
60.35,B06,ZIC,10.0
60.35,B07,ZIP,26.0
60.35,B08,ZIC,39.0
60.35,B09,RL,33.0
60.35,S00,ZIC,32.0
60.35,S01,SHVR,38.0
60.35,S02,ZIP,38.0
60.35,S03,ZIP,16.0
60.35,S04,GVWY,0.0
60.35,S05,GVWY,0.0
60.35,S06,SHVR,0.0
60.35,S07,ZIC,0.0
120.80,B00,SHVR,0.0
120.80,B01,SHVR,0.0
120.80,B02,ZIP,0.0
120.80,B03,GA,0.0
120.80,B04,GVWY,0.0
120.80,B05,GVWY,2.0
120.80,B06,ZIC,17.0
120.80,B07,ZIP,66.0
120.80,B08,ZIC,63.0
120.80,B09,RL,88.0
120.80,S00,ZIC,144.0
120.80,S01,SHVR,97.0
120.80,S02,ZIP,38.0
120.80,S03,ZIP,27.0
120.80,S04,GVWY,0.0
120.80,S05,GVWY,0.0
120.80,S06,SHVR,0.0
120.80,S07,ZIC,0.0
181.19,B00,SHVR,0.0
181.19,B01,SHVR,0.0
181.19,B02,ZIP,0.0
181.19,B03,GA,0.0
181.19,B04,GVWY,0.0
181.19,B05,GVWY,2.0
181.19,B06,ZIC,41.0
181.19,B07,ZIP,91.0
181.19,B08,ZIC,112.0
181.19,B09,RL,154.0
181.19,S00,ZIC,218.0
181.19,S01,SHVR,151.0
181.19,S02,ZIP,100.0
181.19,S03,ZIP,47.0
181.19,S04,GVWY,0.0
181.19,S05,GVWY,0.0
181.19,S06,SHVR,0.0
181.19,S07,ZIC,0.0
241.69,B00,SHVR,0.0
241.69,B01,SHVR,0.0
241.69,B02,ZIP,0.0
241.69,B03,GA,0.0
241.69,B04,GVWY,0.0
241.69,B05,GVWY,2.0
241.69,B06,ZIC,50.0
241.69,B07,ZIP,125.0
241.69,B08,ZIC,142.0
241.69,B09,RL,206.0
241.69,S00,ZIC,300.0
241.69,S01,SHVR,213.0
241.69,S02,ZIP,128.0
241.69,S03,ZIP,60.0
241.69,S04,GVWY,7.0
241.69,S05,GVWY,0.0
241.69,S06,SHVR,0.0
241.69,S07,ZIC,0.0
301.71,B00,SHVR,0.0
301.71,B01,SHVR,0.0
301.71,B02,ZIP,0.0
301.71,B03,GA,0.0
301.71,B04,GVWY,0.0
301.71,B05,GVWY,2.0
301.71,B06,ZIC,65.0
301.71,B07,ZIP,143.0
301.71,B08,ZIC,211.0
301.71,B09,RL,301.0
301.71,S00,ZIC,340.0
301.71,S01,SHVR,275.0
301.71,S02,ZIP,193.0
301.71,S03,ZIP,96.0
301.71,S04,GVWY,7.0
301.71,S05,GVWY,0.0
301.71,S06,SHVR,0.0
301.71,S07,ZIC,0.0
361.75,B00,SHVR,0.0
361.75,B01,SHVR,0.0
361.75,B02,ZIP,0.0
361.75,B03,GA,0.0
361.75,B04,GVWY,0.0
361.75,B05,GVWY,2.0
361.75,B06,ZIC,89.0
361.75,B07,ZIP,226.0
361.75,B08,ZIC,235.0
361.75,B09,RL,367.0
361.75,S00,ZIC,455.0
361.75,S01,SHVR,330.0
361.75,S02,ZIP,235.0
361.75,S03,ZIP,116.0
361.75,S04,GVWY,7.0
361.75,S05,GVWY,0.0
361.75,S06,SHVR,0.0
361.75,S07,ZIC,0.0
422.30,B00,SHVR,0.0
422.30,B01,SHVR,0.0
422.30,B02,ZIP,0.0
422.30,B03,GA,0.0
422.30,B04,GVWY,0.0
422.30,B05,GVWY,2.0
422.30,B06,ZIC,105.0
422.30,B07,ZIP,250.0
422.30,B08,ZIC,307.0
422.30,B09,RL,400.0
422.30,S00,ZIC,496.0
422.30,S01,SHVR,385.0
422.30,S02,ZIP,277.0
422.30,S03,ZIP,136.0
422.30,S04,GVWY,7.0
422.30,S05,GVWY,0.0
422.30,S06,SHVR,0.0
422.30,S07,ZIC,0.0
482.53,B00,SHVR,0.0
482.53,B01,SHVR,0.0
482.53,B02,ZIP,0.0
482.53,B03,GA,0.0
482.53,B04,GVWY,0.0
482.53,B05,GVWY,2.0
482.53,B06,ZIC,121.0
482.53,B07,ZIP,250.0
482.53,B08,ZIC,331.0
482.53,B09,RL,466.0
482.53,S00,ZIC,570.0
482.53,S01,SHVR,439.0
482.53,S02,ZIP,319.0
482.53,S03,ZIP,156.0
482.53,S04,GVWY,7.0
482.53,S05,GVWY,0.0
482.53,S06,SHVR,0.0
482.53,S07,ZIC,0.0
542.57,B00,SHVR,0.0
542.57,B01,SHVR,0.0
