virtual_time,trader_id,trader_type,balance
60.18,B00,ZIP,0.0
60.18,B01,ZIC,0.0
60.18,B02,SHVR,0.0
60.18,B03,GVWY,0.0
60.18,B04,ZIP,0.0
60.18,B05,RL,6.0
60.18,B06,GVWY,0.0
60.18,B07,GA,12.0
60.18,B08,SHVR,50.0
60.18,B09,ZIC,22.0
60.18,S00,GVWY,87.0
60.18,S01,SHVR,60.0
60.18,S02,ZIP,62.0
60.18,S03,ZIC,0.0
60.18,S04,ZIC,0.0
60.18,S05,SHVR,0.0
60.18,S06,ZIP,0.0
60.18,S07,GVWY,0.0
120.27,B00,ZIP,0.0
120.27,B01,ZIC,0.0
120.27,B02,SHVR,0.0
120.27,B03,GVWY,0.0
120.27,B04,ZIP,1.0
120.27,B05,RL,6.0
120.27,B06,GVWY,0.0
120.27,B07,GA,12.0
120.27,B08,SHVR,67.0
120.27,B09,ZIC,77.0
120.27,S00,GVWY,169.0
120.27,S01,SHVR,150.0
120.27,S02,ZIP,133.0
120.27,S03,ZIC,93.0
120.27,S04,ZIC,15.0
120.27,S05,SHVR,0.0
120.27,S06,ZIP,0.0
120.27,S07,GVWY,0.0
180.54,B00,ZIP,0.0
180.54,B01,ZIC,0.0
180.54,B02,SHVR,0.0
180.54,B03,GVWY,0.0
180.54,B04,ZIP,3.0
180.54,B05,RL,6.0
180.54,B06,GVWY,2.0
180.54,B07,GA,16.0
180.54,B08,SHVR,89.0
180.54,B09,ZIC,95.0
180.54,S00,GVWY,259.0
180.54,S01,SHVR,172.0
180.54,S02,ZIP,166.0
180.54,S03,ZIC,105.0
180.54,S04,ZIC,29.0
180.54,S05,SHVR,0.0
180.54,S06,ZIP,4.0
180.54,S07,GVWY,0.0
240.72,B00,ZIP,0.0
240.72,B01,ZIC,0.0
240.72,B02,SHVR,0.0
240.72,B03,GVWY,0.0
240.72,B04,ZIP,3.0
240.72,B05,RL,12.0
240.72,B06,GVWY,2.0
240.72,B07,GA,25.0
240.72,B08,SHVR,139.0
240.72,B09,ZIC,119.0
240.72,S00,GVWY,344.0
240.72,S01,SHVR,228.0
240.72,S02,ZIP,262.0
240.72,S03,ZIC,146.0
240.72,S04,ZIC,29.0
240.72,S05,SHVR,0.0
240.72,S06,ZIP,6.0
240.72,S07,GVWY,0.0
301.11,B00,ZIP,0.0
301.11,B01,ZIC,0.0
301.11,B02,SHVR,0.0
301.11,B03,GVWY,0.0
301.11,B04,ZIP,4.0
301.11,B05,RL,20.0
301.11,B06,GVWY,2.0
301.11,B07,GA,44.0
301.11,B08,SHVR,200.0
301.11,B09,ZIC,129.0
301.11,S00,GVWY,444.0
301.11,S01,SHVR,279.0
301.11,S02,ZIP,317.0
301.11,S03,ZIC,157.0
301.11,S04,ZIC,43.0
301.11,S05,SHVR,0.0
301.11,S06,ZIP,7.0
301.11,S07,GVWY,0.0
361.42,B00,ZIP,0.0
361.42,B01,ZIC,0.0
361.42,B02,SHVR,0.0
361.42,B03,GVWY,0.0
361.42,B04,ZIP,4.0
361.42,B05,RL,26.0
361.42,B06,GVWY,2.0
361.42,B07,GA,54.0
361.42,B08,SHVR,217.0
361.42,B09,ZIC,160.0
361.42,S00,GVWY,494.0
361.42,S01,SHVR,383.0
361.42,S02,ZIP,344.0
361.42,S03,ZIC,183.0
361.42,S04,ZIC,43.0
361.42,S05,SHVR,0.0
361.42,S06,ZIP,9.0
361.42,S07,GVWY,0.0
421.83,B00,ZIP,0.0
421.83,B01,ZIC,0.0
421.83,B02,SHVR,0.0
421.83,B03,GVWY,0.0
421.83,B04,ZIP,4.0
421.83,B05,RL,56.0
421.83,B06,GVWY,2.0
421.83,B07,GA,54.0
421.83,B08,SHVR,269.0
421.83,B09,ZIC,186.0
421.83,S00,GVWY,593.0
421.83,S01,SHVR,448.0
421.83,S02,ZIP,409.0
421.83,S03,ZIC,233.0
421.83,S04,ZIC,43.0
421.83,S05,SHVR,0.0
421.83,S06,ZIP,9.0
421.83,S07,GVWY,0.0
482.10,B00,ZIP,0.0
482.10,B01,ZIC,0.0
482.10,B02,SHVR,0.0
482.10,B03,GVWY,0.0
482.10,B04,ZIP,4.0
482.10,B05,RL,64.0
482.10,B06,GVWY,2.0
482.10,B07,GA,54.0
482.10,B08,SHVR,308.0
482.10,B09,ZIC,223.0
482.10,S00,GVWY,626.0
482.10,S01,SHVR,479.0
482.10,S02,ZIP,465.0
482.10,S03,ZIC,253.0
482.10,S04,ZIC,83.0
482.10,S05,SHVR,0.0
482.10,S06,ZIP,10.0
482.10,S07,GVWY,0.0
542.45,B00,ZIP,0.0
542.45,B01,ZIC,0.0
542.45,B02,SHVR,0.0
542.45,B03,GVWY,0.0
542.45,B04,ZIP,4.0
542.45,B05,RL,80.0
542.45,B06,GVWY,2.0
542.45,B07,GA,61.0
542.45,B08,SHVR,335.0
542.45,B09,ZIC,268.0
542.45,S00,GVWY,734.0
542.45,S01,SHVR,525.0
542.45,S02,ZIP,554.0
542.45,S03,ZIC,292.0
542.45,S04,ZIC,91.0
542.45,S05,SHVR,0.0
542.45,S06,ZIP,13.0
542.45,S07,GVWY,0.0
602.91,B00,ZIP,0.0
602.91,B01,ZIC,0.0
602.91,B02,SHVR,0.0
602.91,B03,GVWY,0.0
602.91,B04,ZIP,5.0
602.91,B05,RL,104.0
602.91,B06,GVWY,2.0
602.91,B07,GA,74.0
602.91,B08,SHVR,341.0
602.91,B09,ZIC,299.0
602.91,S00,GVWY,825.0
602.91,S01,SHVR,571.0
602.91,S02,ZIP,586.0
602.91,S03,ZIC,333.0
602.91,S04,ZIC,115.0
602.91,S05,SHVR,0.0
