virtual_time,trader_id,trader_type,balance
120.68,B00,ZIP,0.0
120.68,B01,RL,0.0
120.68,B02,RL,0.0
120.68,B03,SHVR,0.0
120.68,B04,GVWY,25.0
120.68,B05,SHVR,0.0
120.68,B06,ZIC,0.0
120.68,B07,ZIP,33.0
120.68,B08,GVWY,25.0
120.68,B09,RL,46.0
120.68,B10,ZIC,57.0
120.68,S00,ZIP,77.0
120.68,S01,ZIP,105.0
120.68,S02,SHVR,74.0
120.68,S03,ZIC,28.0
120.68,S04,SHVR,0.0
120.68,S05,GVWY,14.0
120.68,S06,GVWY,0.0
120.68,S07,ZIC,0.0
241.59,B00,ZIP,0.0
241.59,B01,RL,0.0
241.59,B02,RL,0.0
241.59,B03,SHVR,0.0
241.59,B04,GVWY,25.0
241.59,B05,SHVR,5.0
241.59,B06,ZIC,0.0
241.59,B07,ZIP,65.0
241.59,B08,GVWY,54.0
241.59,B09,RL,93.0
241.59,B10,ZIC,180.0
241.59,S00,ZIP,274.0
241.59,S01,ZIP,264.0
241.59,S02,SHVR,117.0
241.59,S03,ZIC,50.0
241.59,S04,SHVR,0.0
241.59,S05,GVWY,14.0
241.59,S06,GVWY,0.0
241.59,S07,ZIC,0.0
362.01,B00,ZIP,0.0
362.01,B01,RL,0.0
362.01,B02,RL,0.0
362.01,B03,SHVR,0.0
362.01,B04,GVWY,25.0
362.01,B05,SHVR,6.0
362.01,B06,ZIC,0.0
362.01,B07,ZIP,86.0
362.01,B08,GVWY,89.0
362.01,B09,RL,151.0
362.01,B10,ZIC,227.0
362.01,S00,ZIP,476.0
362.01,S01,ZIP,391.0
362.01,S02,SHVR,185.0
362.01,S03,ZIC,84.0
362.01,S04,SHVR,0.0
362.01,S05,GVWY,14.0
362.01,S06,GVWY,0.0
362.01,S07,ZIC,0.0
482.26,B00,ZIP,0.0
482.26,B01,RL,0.0
482.26,B02,RL,0.0
482.26,B03,SHVR,0.0
482.26,B04,GVWY,25.0
482.26,B05,SHVR,6.0
482.26,B06,ZIC,0.0
482.26,B07,ZIP,123.0
482.26,B08,GVWY,118.0
482.26,B09,RL,198.0
482.26,B10,ZIC,333.0
482.26,S00,ZIP,696.0
482.26,S01,ZIP,559.0
482.26,S02,SHVR,265.0
482.26,S03,ZIC,101.0
482.26,S04,SHVR,0.0
482.26,S05,GVWY,22.0
482.26,S06,GVWY,0.0
482.26,S07,ZIC,0.0
603.14,B00,ZIP,0.0
603.14,B01,RL,0.0
603.14,B02,RL,0.0
603.14,B03,SHVR,0.0
603.14,B04,GVWY,25.0
603.14,B05,SHVR,6.0
603.14,B06,ZIC,0.0
603.14,B07,ZIP,156.0
603.14,B08,GVWY,139.0
603.14,B09,RL,260.0
603.14,B10,ZIC,403.0
603.14,S00,ZIP,858.0
603.14,S01,ZIP,771.0
603.14,S02,SHVR,354.0
603.14,S03,ZIC,156.0
603.14,S04,SHVR,0.0
603.14,S05,GVWY,22.0
603.14,S06,GVWY,0.0
603.14,S07,ZIC,0.0
723.39,B00,ZIP,0.0
723.39,B01,RL,0.0
723.39,B02,RL,0.0
723.39,B03,SHVR,0.0
723.39,B04,GVWY,25.0
723.39,B05,SHVR,6.0
723.39,B06,ZIC,0.0
723.39,B07,ZIP,195.0
723.39,B08,GVWY,172.0
723.39,B09,RL,309.0
723.39,B10,ZIC,498.0
723.39,S00,ZIP,1061.0
723.39,S01,ZIP,890.0
723.39,S02,SHVR,404.0
723.39,S03,ZIC,175.0
723.39,S04,SHVR,0.0
723.39,S05,GVWY,22.0
723.39,S06,GVWY,0.0
723.39,S07,ZIC,0.0
844.38,B00,ZIP,0.0
844.38,B01,RL,0.0
844.38,B02,RL,0.0
844.38,B03,SHVR,0.0
844.38,B04,GVWY,25.0
844.38,B05,SHVR,6.0
844.38,B06,ZIC,0.0
844.38,B07,ZIP,231.0
844.38,B08,GVWY,210.0
844.38,B09,RL,361.0
844.38,B10,ZIC,591.0
844.38,S00,ZIP,1262.0
844.38,S01,ZIP,1053.0
844.38,S02,SHVR,477.0
844.38,S03,ZIC,210.0
844.38,S04,SHVR,0.0
844.38,S05,GVWY,22.0
844.38,S06,GVWY,0.0
844.38,S07,ZIC,0.0
964.70,B00,ZIP,0.0
964.70,B01,RL,0.0
964.70,B02,RL,0.0
964.70,B03,SHVR,0.0
964.70,B04,GVWY,25.0
964.70,B05,SHVR,6.0
964.70,B06,ZIC,2.0
964.70,B07,ZIP,268.0
964.70,B08,GVWY,237.0
964.70,B09,RL,432.0
964.70,B10,ZIC,662.0
964.70,S00,ZIP,1466.0
964.70,S01,ZIP,1173.0
964.70,S02,SHVR,558.0
964.70,S03,ZIC,249.0
964.70,S04,SHVR,0.0
964.70,S05,GVWY,22.0
964.70,S06,GVWY,0.0
964.70,S07,ZIC,0.0
1085.75,B00,ZIP,0.0
1085.75,B01,RL,0.0
1085.75,B02,RL,0.0
1085.75,B03,SHVR,0.0
1085.75,B04,GVWY,25.0
1085.75,B05,SHVR,6.0
1085.75,B06,ZIC,2.0
1085.75,B07,ZIP,311.0
1085.75,B08,GVWY,269.0
1085.75,B09,RL,479.0
1085.75,B10,ZIC,757.0
1085.75,S00,ZIP,1619.0
1085.75,S01,ZIP,1335.0
1085.75,S02,SHVR,635.0
1085.75,S03,ZIC,258.0
1085.75,S04,SHVR,0.0
1085.75,S05,GVWY,22.0
1085.75,S06,GVWY,0.0
1085.75,S07,ZIC,0.0
1206.55,B00,ZIP,0.0
1206.55,B01,RL,0.0
1206.55,B02,RL,0.0
1206.55,B03,SHVR,0.0
1206.55,B04,GVWY,25.0
1206.55,B05,SHVR,6.0
1206.55,B06,ZIC,3.0
1206.55,B07,ZIP,352.0
1206.55,B08,GVWY,305.0
1206.55,B09,RL,558.0
1206.55,B10,ZIC,856.0
1206.55,S00,ZIP,1820.0
1206.55,S01,ZIP,1496.0
1206.55,S02,SHVR,692.0
1206.55,S03,ZIC,311.0
1206.55,S04,SHVR,0.0
1206.55,S05,GVWY,22.0
1206.55,S06,GVWY,0.0
1206.55,S07,ZIC,0.0
1326.95,B00,ZIP,0.0
1326.95,B01,RL,0.0
1326.95,B02,RL,0.0
1326.95,B03,SHVR,0.0
1326.95,B04,GVWY,25.0
1326.95,B05,SHVR,6.0
1326.95,B06,ZIC,3.0
1326.95,B07,ZIP,400.0
1326.95,B08,GVWY,329.0
1326.95,B09,RL,604.0
1326.95,B10,ZIC,948.0
1326.95,S00,ZIP,1973.0
1326.95,S01,ZIP,1663.0
1326.95,S02,SHVR,766.0
1326.95,S03,ZIC,318.0
1326.95,S04,SHVR,0.0
1326.95,S05,GVWY,22.0
1326.95,S06,GVWY,0.0
1326.95,S07,ZIC,0.0
1447.46,B00,ZIP,0.0
1447.46,B01,RL,0.0
1447.46,B02,RL,0.0
1447.46,B03,SHVR,0.0
1447.46,B04,GVWY,25.0
1447.46,B05,SHVR,6.0
1447.46,B06,ZIC,11.0
1447.46,B07,ZIP,432.0
1447.46,B08,GVWY,363.0
1447.46,B09,RL,670.0
1447.46,B10,ZIC,1044.0
1447.46,S00,ZIP,2228.0
1447.46,S01,ZIP,1824.0
1447.46,S02,SHVR,851.0
1447.46,S03,ZIC,353.0
1447.46,S04,SHVR,0.0
1447.46,S05,GVWY,22.0
1447.46,S06,GVWY,0.0
1447.46,S07,ZIC,0.0
1567.59,B00,ZIP,0.0
1567.59,B01,RL,0.0
1567.59,B02,RL,0.0
1567.59,B03,SHVR,0.0
1567.59,B04,GVWY,25.0
1567.59,B05,SHVR,6.0
1567.59,B06,ZIC,17.0
1567.59,B07,ZIP,481.0
1567.59,B08,GVWY,401.0
1567.59,B09,RL,733.0
1567.59,B10,ZIC,1141.0
1567.59,S00,ZIP,2378.0
1567.59,S01,ZIP,1979.0
1567.59,S02,SHVR,927.0
1567.59,S03,ZIC,389.0
1567.59,S04,SHVR,0.0
1567.59,S05,GVWY,22.0
1567.59,S06,GVWY,0.0
1567.59,S07,ZIC,0.0
1688.20,B00,ZIP,0.0
1688.20,B01,RL,0.0
1688.20,B02,RL,0.0
1688.20,B03,SHVR,0.0
1688.20,B04,GVWY,25.0
1688.20,B05,SHVR,12.0
1688.20,B06,ZIC,20.0
1688.20,B07,ZIP,514.0
1688.20,B08,GVWY,427.0
1688.20,B09,RL,782.0
1688.20,B10,ZIC,1209.0
1688.20,S00,ZIP,2580.0
1688.20,S01,ZIP,2061.0
1688.20,S02,SHVR,969.0
1688.20,S03,ZIC,431.0
1688.20,S04,SHVR,0.0
1688.20,S05,GVWY,22.0
1688.20,S06,GVWY,0.0
1688.20,S07,ZIC,0.0
1808.39,B00,ZIP,0.0
1808.39,B01,RL,0.0
1808.39,B02,RL,0.0
1808.39,B03,SHVR,0.0
1808.39,B04,GVWY,25.0
1808.39,B05,SHVR,12.0
1808.39,B06,ZIC,31.0
1808.39,B07,ZIP,551.0
1808.39,B08,GVWY,460.0
1808.39,B09,RL,861.0
1808.39,B10,ZIC,1310.0
1808.39,S00,ZIP,2784.0
1808.39,S01,ZIP,2264.0
1808.39,S02,SHVR,1043.0
1808.39,S03,ZIC,453.0
1808.39,S04,SHVR,0.0
1808.39,S05,GVWY,22.0
1808.39,S06,GVWY,0.0
1808.39,S07,ZIC,0.0
1928.83,B00,ZIP,0.0
1928.83,B01,RL,0.0
1928.83,B02,RL,0.0
1928.83,B03,SHVR,0.0
1928.83,B04,GVWY,25.0
1928.83,B05,SHVR,12.0
1928.83,B06,ZIC,31.0
1928.83,B07,ZIP,608.0
1928.83,B08,GVWY,502.0
1928.83,B09,RL,910.0
1928.83,B10,ZIC,1409.0
1928.83,S00,ZIP,2981.0
1928.83,S01,ZIP,2386.0
1928.83,S02,SHVR,1124.0
1928.83,S03,ZIC,475.0
1928.83,S04,SHVR,0.0
1928.83,S05,GVWY,22.0
1928.83,S06,GVWY,0.0
1928.83,S07,ZIC,0.0
2049.96,B00,ZIP,0.0
2049.96,B01,RL,0.0
2049.96,B02,RL,0.0
2049.96,B03,SHVR,0.0
2049.96,B04,GVWY,25.0
2049.96,B05,SHVR,12.0
2049.96,B06,ZIC,31.0
2049.96,B07,ZIP,644.0
2049.96,B08,GVWY,537.0
2049.96,B09,RL,984.0
2049.96,B10,ZIC,1477.0
2049.96,S00,ZIP,3132.0
2049.96,S01,ZIP,2549.0
2049.96,S02,SHVR,1191.0
2049.96,S03,ZIC,512.0
2049.96,S04,SHVR,0.0
2049.96,S05,GVWY,22.0
2049.96,S06,GVWY,0.0
2049.96,S07,ZIC,0.0
2170.66,B00,ZIP,0.0
2170.66,B01,RL,0.0
2170.66,B02,RL,0.0
2170.66,B03,SHVR,0.0
2170.66,B04,GVWY,25.0
