B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 1
B12, Trade, 383.163, 96, B12, S05, 1
B12, Trade, 392.907, 101, B12, S08, 1
B12, Trade, 404.349, 97, B12, S08, 1
B12, Trade, 419.000, 101, B12, S08, 1
B12, Trade, 433.465, 103, B12, S00, 1
B12, Trade, 454.953, 103, B12, S05, 1
B12, Trade, 471.233, 102, B12, S00, 1
B12, Trade, 500.093, 102, B12, S05, 1
B12, Trade, 516.721, 103, B12, S02, 1
B12, Trade, 520.395, 103, B12, S00, 1
B12, Trade, 523.651, 102, B12, S02, 1
B12, Trade, 543.628, 99, B12, S08, 1
B12, Trade, 551.837, 97, B12, S02, 1
B12, Trade, 556.326, 97, B12, S00, 1
B12, Trade, 572.581, 100, B12, S08, 1
B12, Trade, 578.000, 98, S01, B12, 1
B12, Trade, 598.674, 103, B12, S06, 1
B12, Trade, 610.326, 102, B12, S02, 1
B12, Trade, 637.535, 103, B12, S00, 1
B12, Trade, 650.488, 103, B12, S02, 1
B12, Trade, 661.302, 99, B12, S07, 1
B12, Trade, 665.977, 102, B12, S00, 1
B12, Trade, 685.023, 103, B12, S08, 1
B12, Trade, 706.302, 103, B12, S05, 1
B12, Trade, 714.093, 103, B12, S05, 1
B12, Trade, 729.605, 103, B12, S00, 1
B12, Trade, 735.279, 102, B12, S02, 1
B12, Trade, 743.209, 103, B12, S05, 1
B12, Trade, 774.140, 102, B12, S08, 1
B12, Trade, 782.512, 101, S04, B12, 1
B12, Trade, 790.651, 103, B12, S07, 1
B12, Trade, 799.256, 98, B12, S09, 1
B12, Trade, 815.977, 103, B12, S02, 1
B12, Trade, 824.186, 103, B12, S03, 1
B12, Trade, 834.884, 102, B12, S08, 1
B12, Trade, 838.581, 100, B12, S02, 1
B12, Trade, 851.674, 102, B12, S05, 1
B12, Trade, 865.605, 103, B12, S02, 1
B12, Trade, 874.047, 101, S04, B12, 1
B12, Trade, 879.186, 102, B12, S00, 1
B12, Trade, 896.349, 103, B12, S03, 1
B12, Trade, 903.558, 102, B12, S08, 1
B12, Trade, 905.930, 102, B12, S08, 1
B12, Trade, 921.558, 102, B12, S00, 1
B12, Trade, 935.093, 102, B12, S08, 1
B12, Trade, 965.372, 103, B12, S06, 1
B12, Trade, 975.419, 96, B12, S02, 1
B12, Trade, 1023.953, 103, B12, S00, 1
B12, Trade, 1034.721, 97, S06, B12, 1
B12, Trade, 1048.721, 103, B12, S08, 1
B12, Trade, 1049.605, 102, B12, S06, 1
