TRD, 2.395349, 92
TRD, 3.209302, 74
TRD, 3.906977, 72
TRD, 5.976744, 100
TRD, 6.651163, 111
TRD, 7.860465, 111
TRD, 8.976744, 109
TRD, 10.302326, 111
TRD, 10.418605, 108
TRD, 10.511628, 111
TRD, 13.093023, 101
TRD, 13.395349, 103
TRD, 13.906977, 111
TRD, 14.279070, 117
TRD, 14.302326, 118
TRD, 14.651163, 109
TRD, 16.488372, 110
TRD, 18.465116, 109
TRD, 19.325581, 108
TRD, 20.558140, 103
TRD, 21.813953, 103
TRD, 22.186047, 110
TRD, 23.000000, 105
TRD, 23.255814, 118
TRD, 23.627907, 102
TRD, 24.883721, 103
TRD, 24.976744, 107
TRD, 25.302326, 109
TRD, 28.023256, 102
TRD, 28.813953, 104
TRD, 28.860465, 105
TRD, 29.813953, 105
TRD, 30.697674, 118
TRD, 32.186047, 109
TRD, 35.093023, 118
TRD, 36.302326, 104
TRD, 37.558140, 103
TRD, 40.348837, 95
TRD, 40.581395, 99
TRD, 41.395349, 96
TRD, 41.534884, 96
TRD, 42.558140, 96
TRD, 42.790698, 97
TRD, 43.441860, 97
TRD, 43.697674, 100
TRD, 43.837209, 118
TRD, 44.581395, 95
TRD, 46.697674, 106
TRD, 47.139535, 120
TRD, 48.976744, 108
TRD, 49.209302, 107
TRD, 50.069767, 109
TRD, 50.860465, 111
TRD, 51.558140, 117
TRD, 52.093023, 110
TRD, 53.162791, 110
TRD, 55.279070, 109
TRD, 57.790698, 105
TRD, 58.186047, 105
TRD, 58.325581, 106
TRD, 58.767442, 103
TRD, 60.069767, 104
TRD, 61.418605, 106
TRD, 61.674419, 108
TRD, 63.488372, 106
TRD, 63.558140, 107
TRD, 63.697674, 103
TRD, 64.790698, 110
TRD, 65.465116, 90
TRD, 67.744186, 100
TRD, 70.116279, 105
TRD, 70.767442, 107
TRD, 72.790698, 106
TRD, 73.162791, 103
TRD, 73.558140, 106
TRD, 74.255814, 117
TRD, 75.093023, 117
TRD, 77.046512, 112
TRD, 78.534884, 109
TRD, 80.186047, 108
TRD, 80.534884, 109
TRD, 81.023256, 108
TRD, 81.465116, 118
TRD, 82.162791, 121
TRD, 84.162791, 104
TRD, 84.488372, 112
TRD, 86.023256, 106
TRD, 87.162791, 108
TRD, 87.906977, 108
TRD, 88.116279, 108
TRD, 89.790698, 108
TRD, 90.744186, 105
TRD, 91.209302, 105
TRD, 93.860465, 104
TRD, 95.651163, 105
TRD, 95.720930, 105
TRD, 97.697674, 105
TRD, 98.906977, 118
TRD, 99.767442, 105
TRD, 100.093023, 103
TRD, 101.651163, 104
TRD, 102.046512, 106
TRD, 102.674419, 108
TRD, 102.790698, 100
TRD, 103.441860, 95
TRD, 104.883721, 117
TRD, 105.395349, 110
TRD, 105.744186, 118
TRD, 106.697674, 111
TRD, 107.767442, 114
TRD, 108.860465, 115
TRD, 109.837209, 113
TRD, 110.325581, 112
TRD, 111.162791, 109
TRD, 111.279070, 119
TRD, 114.279070, 111
TRD, 114.720930, 110
TRD, 115.186047, 110
TRD, 115.302326, 110
TRD, 115.790698, 109
TRD, 117.511628, 110
TRD, 118.627907, 103
TRD, 122.348837, 109
TRD, 122.627907, 106
TRD, 122.651163, 110
TRD, 123.720930, 114
TRD, 124.697674, 109
TRD, 126.302326, 108
TRD, 126.441860, 100
TRD, 126.604651, 109
TRD, 128.302326, 97
TRD, 130.883721, 104
TRD, 131.232558, 103
TRD, 132.348837, 102
TRD, 132.790698, 103
TRD, 132.930233, 102
TRD, 135.162791, 107
TRD, 135.232558, 103
TRD, 136.720930, 104
TRD, 137.790698, 103
TRD, 138.720930, 104
TRD, 139.069767, 103
TRD, 139.930233, 100
TRD, 141.139535, 102
TRD, 142.372093, 101
TRD, 144.953488, 100
TRD, 146.465116, 100
TRD, 147.279070, 102
TRD, 147.651163, 111
TRD, 148.581395, 118
TRD, 150.302326, 110
TRD, 150.534884, 109
TRD, 151.000000, 105
TRD, 151.883721, 108
TRD, 152.511628, 107
TRD, 153.837209, 103
TRD, 153.930233, 105
TRD, 155.511628, 105
TRD, 157.604651, 104
TRD, 157.697674, 103
TRD, 159.209302, 102
TRD, 160.348837, 102
TRD, 161.279070, 103
TRD, 163.093023, 109
TRD, 164.162791, 118
TRD, 164.302326, 110
TRD, 165.209302, 109
TRD, 166.813953, 123
TRD, 166.953488, 110
TRD, 168.372093, 110
TRD, 169.000000, 109
TRD, 169.093023, 110
TRD, 169.302326, 100
TRD, 171.558140, 101
TRD, 171.790698, 111
TRD, 172.186047, 115
TRD, 172.581395, 95
TRD, 172.604651, 90
TRD, 176.767442, 115
TRD, 177.372093, 114
TRD, 177.488372, 114
TRD, 178.069767, 118
TRD, 178.395349, 113
TRD, 178.674419, 123
TRD, 180.441860, 121
TRD, 182.209302, 117
TRD, 183.790698, 114
TRD, 184.116279, 111
TRD, 184.325581, 109
TRD, 184.674419, 128
TRD, 186.558140, 112
TRD, 186.813953, 113
TRD, 187.279070, 112
TRD, 188.116279, 111
TRD, 188.604651, 113
TRD, 192.325581, 107
TRD, 193.534884, 107
TRD, 193.627907, 106
TRD, 193.860465, 103
TRD, 195.744186, 105
TRD, 196.093023, 105
TRD, 197.232558, 104
TRD, 199.511628, 105
TRD, 200.465116, 104
TRD, 200.674419, 105
TRD, 200.860465, 103
TRD, 201.534884, 123
TRD, 203.046512, 122
TRD, 204.930233, 121
TRD, 205.465116, 120
TRD, 208.441860, 116
TRD, 210.093023, 110
TRD, 210.279070, 112
TRD, 210.837209, 111
TRD, 211.116279, 109
TRD, 213.023256, 103
TRD, 213.465116, 100
TRD, 213.953488, 101
TRD, 214.744186, 103
TRD, 214.930233, 96
TRD, 215.116279, 103
TRD, 215.604651, 95
TRD, 215.767442, 104
TRD, 217.488372, 135
TRD, 219.209302, 113
TRD, 220.813953, 113
TRD, 223.930233, 105
TRD, 224.000000, 109
TRD, 224.837209, 108
TRD, 225.000000, 103
TRD, 226.116279, 100
TRD, 227.069767, 103
TRD, 227.651163, 106
TRD, 229.511628, 99
TRD, 230.162791, 92
TRD, 230.348837, 100
TRD, 230.813953, 118
TRD, 232.883721, 107
TRD, 234.093023, 109
TRD, 234.348837, 110
TRD, 234.860465, 109
TRD, 238.930233, 109
TRD, 239.279070, 108
TRD, 239.558140, 118
TRD, 239.976744, 108
TRD, 240.930233, 103
TRD, 242.581395, 106
TRD, 242.837209, 105
TRD, 243.139535, 108
TRD, 243.860465, 107
TRD, 245.232558, 103
TRD, 245.837209, 102
TRD, 246.209302, 100
TRD, 246.511628, 107
TRD, 249.139535, 109
TRD, 251.162791, 111
TRD, 251.581395, 111
TRD, 252.790698, 109
TRD, 253.767442, 109
TRD, 255.325581, 118
TRD, 255.767442, 100
TRD, 256.255814, 96
TRD, 257.348837, 123
TRD, 258.790698, 108
TRD, 259.953488, 108
TRD, 260.093023, 109
TRD, 261.255814, 107
TRD, 262.093023, 108
TRD, 263.627907, 106
TRD, 263.837209, 106
TRD, 264.418605, 106
TRD, 264.744186, 106
TRD, 265.279070, 103
TRD, 266.558140, 95
TRD, 267.860465, 109
TRD, 267.953488, 108
TRD, 271.023256, 115
TRD, 272.302326, 110
TRD, 272.651163, 111
TRD, 273.813953, 113
