B00, 100
B01, Trade, 1317.927, 170, B01, S18, 1
B01, Trade, 1405.024, 171, S17, B01, 1
B01, Trade, 1486.878, 155, B01, S12, 1
B01, Trade, 1489.829, 168, B01, S01, 1
B01, Trade, 1505.439, 162, B01, S07, 1
B01, Trade, 1575.293, 158, B01, S03, 1
B01, Trade, 1649.415, 172, B01, S07, 1
B01, Trade, 1712.829, 161, B01, S07, 1
B01, Trade, 1719.951, 162, S06, B01, 1
B01, Trade, 1777.122, 166, S13, B01, 1
B01, Trade, 1783.561, 165, B01, S17, 1
B01, Trade, 1817.049, 165, B01, S16, 1
B01, Trade, 1878.756, 161, B01, S08, 1
B01, Trade, 1949.756, 152, B01, S12, 1
B01, Trade, 1954.537, 163, B01, S05, 1
B01, Trade, 2005.463, 157, S00, B01, 1
B01, Trade, 2020.098, 148, B01, S03, 1
B01, Trade, 2024.439, 158, B01, S06, 1
B01, Trade, 2083.244, 136, B01, S17, 1
B01, Trade, 2089.732, 136, B01, S12, 1
B01, Trade, 2098.780, 140, B01, S14, 1
B01, Trade, 2151.463, 134, B01, S17, 1
B01, Trade, 2198.659, 139, B01, S11, 1
B01, Trade, 2275.488, 146, S06, B01, 1
B01, Trade, 2329.537, 140, B01, S14, 1
B01, Trade, 2383.829, 146, S14, B01, 1
B01, Trade, 2391.707, 147, B01, S19, 1
B01, Trade, 2424.073, 144, S14, B01, 1
B01, Trade, 2479.024, 130, B01, S00, 1
B01, Trade, 2485.707, 132, B01, S13, 1
B01, Trade, 2495.561, 128, B01, S00, 1
B01, Trade, 2508.366, 129, B01, S19, 1
B01, Trade, 2522.659, 129, B01, S07, 1
B01, Trade, 2561.512, 129, B01, S06, 1
B01, Trade, 2569.317, 120, B01, S05, 1
B01, Trade, 2578.024, 123, B01, S06, 1
B01, Trade, 2604.220, 126, B01, S04, 1
B01, Trade, 2607.780, 131, S13, B01, 1
B01, Trade, 2620.805, 126, B01, S10, 1
B01, Trade, 2658.707, 118, B01, S07, 1
B01, Trade, 2667.024, 120, B01, S13, 1
B01, Trade, 2671.415, 123, S05, B01, 1
B01, Trade, 2677.756, 124, S17, B01, 1
B01, Trade, 2716.634, 123, B01, S15, 1
B01, Trade, 2748.220, 122, B01, S00, 1
B01, Trade, 2779.098, 121, B01, S17, 1
B01, Trade, 2857.220, 110, B01, S01, 1
B01, Trade, 2876.659, 115, S14, B01, 1
B01, Trade, 2893.561, 109, B01, S14, 1
B01, Trade, 2912.098, 110, B01, S03, 1
B01, Trade, 2927.634, 103, S18, B01, 1
B01, Trade, 2943.927, 100, S02, B01, 1
B01, Trade, 2948.244, 96, S15, B01, 1
B01, Trade, 2957.951, 102, B01, S09, 1
B01, Trade, 2990.220, 94, B01, S19, 1
B01, Trade, 3041.390, 108, S08, B01, 1
B01, Trade, 3047.756, 105, S06, B01, 1
B01, Trade, 3073.805, 111, B01, S16, 1
B01, Trade, 3107.927, 111, B01, S13, 1
B01, Trade, 3126.439, 109, S13, B01, 1
B01, Trade, 3146.976, 103, B01, S00, 1
B01, Trade, 3158.390, 115, B01, S08, 1
B01, Trade, 3198.415, 121, B01, S10, 1
B01, Trade, 3205.000, 121, B01, S08, 1
B01, Trade, 3265.463, 130, B01, S19, 1
B01, Trade, 3278.293, 123, B01, S06, 1
B01, Trade, 3281.512, 127, B01, S00, 1
B01, Trade, 3337.976, 127, B01, S11, 1
