B01, Trade, 24188.654, 125, B01, S01, 1
B01, Trade, 24212.269, 109, B01, S02, 1
B01, Trade, 24217.385, 115, S09, B01, 1
B01, Trade, 24240.308, 121, B01, S04, 1
B01, Trade, 24257.269, 122, B01, S10, 1
B01, Trade, 24283.192, 110, B01, S10, 1
B01, Trade, 24305.846, 122, B01, S01, 1
B01, Trade, 24323.308, 111, B01, S00, 1
B01, Trade, 24336.500, 126, B01, S09, 1
B01, Trade, 24346.500, 131, B01, S00, 1
B01, Trade, 24357.115, 119, B01, S08, 1
B01, Trade, 24361.077, 126, B01, S02, 1
B01, Trade, 24376.192, 121, B01, S07, 1
B01, Trade, 24396.538, 127, S03, B01, 1
B01, Trade, 24402.192, 122, B01, S03, 1
B01, Trade, 24413.115, 118, B01, S08, 1
B01, Trade, 24443.077, 118, B01, S10, 1
B01, Trade, 24446.000, 112, B01, S08, 1
B01, Trade, 24451.500, 122, S10, B01, 1
B01, Trade, 24460.769, 129, B01, S03, 1
B01, Trade, 24474.269, 121, S05, B01, 1
B01, Trade, 24486.885, 117, B01, S04, 1
B01, Trade, 24500.462, 120, S05, B01, 1
B01, Trade, 24511.308, 115, B01, S00, 1
B01, Trade, 24515.423, 127, B01, S11, 1
B01, Trade, 24526.154, 118, B01, S09, 1
B01, Trade, 24541.385, 121, B01, S10, 1
B01, Trade, 24548.192, 121, S00, B01, 1
B01, Trade, 24568.346, 116, S07, B01, 1
B01, Trade, 24575.577, 120, B01, S10, 1
B01, Trade, 24594.577, 119, B01, S01, 1
B01, Trade, 24602.231, 124, B01, S05, 1
B01, Trade, 24606.038, 124, S03, B01, 1
B01, Trade, 24636.731, 125, B01, S02, 1
B01, Trade, 24649.038, 123, B01, S01, 1
B01, Trade, 24662.077, 118, B01, S05, 1
B01, Trade, 24693.500, 123, B01, S08, 1
B01, Trade, 24707.731, 134, S03, B01, 1
B01, Trade, 24720.192, 132, S03, B01, 1
B01, Trade, 24728.346, 123, B01, S11, 1
B01, Trade, 24747.269, 119, B01, S09, 1
B01, Trade, 24758.462, 122, B01, S08, 1
B01, Trade, 24770.808, 124, B01, S10, 1
B01, Trade, 24775.808, 125, B01, S04, 1
B01, Trade, 24794.538, 124, B01, S06, 1
B01, Trade, 24803.077, 123, B01, S09, 1
B01, Trade, 24815.423, 115, B01, S09, 1
B01, Trade, 24830.192, 128, S05, B01, 1
B01, Trade, 24851.115, 119, B01, S08, 1
B01, Trade, 24864.923, 120, B01, S07, 1
B01, Trade, 24867.115, 113, B01, S11, 1
B01, Trade, 24882.615, 117, B01, S04, 1
